,Date,Stage,Home,Away,HomeScore,AwayScore,HG,AG
0,15-Nov-23,Group A,Ethiopia,Sierra Leone,0.0,0.0,,
1,16-Nov-23,Group A,Egypt,Djibouti,6.0,0.0,,
2,17-Nov-23,Group A,Burkina Faso,Guinea-Bissau,1.0,1.0,,
3,19-Nov-23,Group A,Sierra Leone,Egypt,0.0,2.0,,
4,20-Nov-23,Group A,Djibouti,Guinea-Bissau,0.0,1.0,,
5,21-Nov-23,Group A,Ethiopia,Burkina Faso,0.0,3.0,,
6,05-Jun-24,Group A,Sierra Leone,Djibouti,2.0,1.0,,
7,06-Jun-24,Group A,Egypt,Burkina Faso,2.0,1.0,,
8,06-Jun-24,Group A,Guinea-Bissau,Ethiopia,0.0,0.0,,
9,09-Jun-24,Group A,Djibouti,Ethiopia,1.0,1.0,,
10,10-Jun-24,Group A,Guinea-Bissau,Egypt,1.0,1.0,,
11,10-Jun-24,Group A,Burkina Faso,Sierra Leone,2.0,2.0,,
12,01-Mar-25,Group A,Burkina Faso,Djibouti,,,3.0,1.0
13,01-Mar-25,Group A,Sierra Leone,Guinea-Bissau,,,1.0,1.0
14,01-Mar-25,Group A,Ethiopia,Egypt,,,0.0,0.0
15,01-Mar-25,Group A,Guinea-Bissau,Burkina Faso,,,0.0,1.0
16,01-Mar-25,Group A,Egypt,Sierra Leone,,,0.0,0.0
17,01-Mar-25,Group A,Ethiopia,Djibouti,,,1.0,1.0
18,01-Sep-25,Group A,Guinea-Bissau,Sierra Leone,,,2.0,0.0
19,01-Sep-25,Group A,Djibouti,Burkina Faso,,,0.0,1.0
20,01-Sep-25,Group A,Egypt,Ethiopia,,,1.0,0.0
21,01-Sep-25,Group A,Burkina Faso,Egypt,,,2.0,0.0
22,01-Sep-25,Group A,Guinea-Bissau,Djibouti,,,1.0,0.0
23,01-Sep-25,Group A,Sierra Leone,Ethiopia,,,1.0,0.0
24,01-Oct-25,Group A,Djibouti,Egypt,,,1.0,2.0
25,01-Oct-25,Group A,Sierra Leone,Burkina Faso,,,2.0,1.0
26,01-Oct-25,Group A,Ethiopia,Guinea-Bissau,,,0.0,1.0
27,01-Oct-25,Group A,Burkina Faso,Ethiopia,,,1.0,0.0
28,01-Oct-25,Group A,Djibouti,Sierra Leone,,,0.0,2.0
29,01-Oct-25,Group A,Egypt,Guinea-Bissau,,,0.0,0.0
