Team,HxG,HxGA,AxG,AxGA
Arsenal,1.65,0.55,0.8,1.35
Aston Villa,1.75,0.75,1.5,1.9
Bournemouth,1.75,0.85,1.65,1.65
Brentford,2.2,1.25,0.85,1.7
Brighton,1.7,1.35,1.1,1.8
Chelsea,1.95,1.0,1.35,1.8
Crystal Palace,1.15,1.4,1.1,1.65
Everton,0.85,1.3,1.1,1.05
Fulham,1.65,1.05,1.25,1.15
Ipswich Town,1.1,1.2,0.95,2.85
Leicester City,0.8,1.55,0.9,1.95
Liverpool,1.95,1.0,2.15,0.75
Manchester City,2.1,0.85,1.6,1.3
Manchester Utd,1.35,1.0,1.5,1.4
Newcastle Utd,1.6,1.1,1.6,1.4
Nott'ham Forest,1.15,1.1,1.15,0.95
Southampton,1.2,2.4,0.6,2.05
Tottenham,2.15,0.9,1.25,1.4
West Ham,1.6,2.1,0.8,1.5
Wolves,1.25,1.6,0.85,1.25
