Date,Home,Away,HG,AG
2015-10-08,Colombia,Peru,2,0
2015-10-08,Bolivia,Uruguay,0,2
2015-10-08,Venezuela,Paraguay,0,1
2015-10-08,Chile,Brazil,2,0
2015-10-08,Argentina,Ecuador,0,2
,,,,
2015-10-13,Ecuador,Bolivia,2,0
2015-10-13,Uruguay,Colombia,3,0
2015-10-13,Paraguay,Argentina,0,0
2015-10-13,Peru,Chile,3,4
2015-10-13,Brazil,Venezuela,3,1
,,,,
2015-11-12,Bolivia,Venezuela,4,2
2015-11-12,Ecuador,Uruguay,2,1
2015-11-12,Chile,Colombia,1,1
2015-11-13,Argentina,Brazil,1,1
2015-11-13,Peru,Paraguay,1,0
,,,,
2015-11-17,Colombia,Argentina,0,1
2015-11-17,Venezuela,Ecuador,1,3
2015-11-17,Paraguay,Bolivia,2,1
2015-11-17,Uruguay,Chile,3,0
2015-11-17,Brazil,Peru,3,0
,,,,
2016-03-24,Bolivia,Colombia,2,3
2016-03-24,Ecuador,Paraguay,2,2
2016-03-24,Chile,Argentina,1,2
2016-03-24,Peru,Venezuela,2,2
2016-03-25,Brazil,Uruguay,2,2
,,,,
2016-03-29,Colombia,Ecuador,3,1
2016-03-29,Venezuela,Chile,1,4
2016-03-29,Uruguay,Peru,1,0
2016-03-29,Argentina,Bolivia,2,0
2016-03-29,Paraguay,Brazil,2,2
,,,,
2016-09-01,Colombia,Venezuela,2,0
2016-09-01,Bolivia,Peru,0,3
2016-09-01,Ecuador,Brazil,0,3
2016-09-01,Argentina,Uruguay,1,0
2016-09-01,Paraguay,Chile,2,1
,,,,
2016-09-06,Venezuela,Argentina,2,2
2016-09-06,Uruguay,Paraguay,4,0
2016-09-06,Chile,Bolivia,3,0
2016-09-06,Brazil,Colombia,2,1
2016-09-06,Peru,Ecuador,2,1
,,,,
2016-10-06,Ecuador,Chile,3,0
2016-10-06,Uruguay,Venezuela,3,0
2016-10-06,Paraguay,Colombia,0,1
2016-10-06,Peru,Argentina,2,2
2016-10-06,Brazil,Bolivia,5,0
,,,,
2016-10-11,Colombia,Uruguay,2,2
2016-10-11,Bolivia,Ecuador,2,2
2016-10-11,Argentina,Paraguay,0,1
2016-10-11,Chile,Peru,2,1
2016-10-11,Venezuela,Brazil,0,2
,,,,
2016-11-10,Colombia,Chile,0,0
2016-11-10,Venezuela,Bolivia,5,0
2016-11-10,Uruguay,Ecuador,2,1
2016-11-10,Paraguay,Peru,1,4
2016-11-10,Brazil,Argentina,3,0
,,,,
2016-11-15,Ecuador,Venezuela,3,0
2016-11-15,Bolivia,Paraguay,1,0
2016-11-15,Argentina,Colombia,3,0
2016-11-15,Chile,Uruguay,3,1
2016-11-15,Peru,Brazil,0,2
,,,,
2017-03-23,Colombia,Bolivia,1,0
2017-03-23,Venezuela,Peru,2,2
2017-03-23,Paraguay,Ecuador,2,1
2017-03-23,Uruguay,Brazil,1,4
2017-03-23,Argentina,Chile,1,0
,,,,
2017-03-28,Bolivia,Argentina,2,0
2017-03-28,Ecuador,Colombia,0,2
2017-03-28,Chile,Venezuela,3,1
2017-03-28,Peru,Uruguay,2,1
2017-03-28,Brazil,Paraguay,3,0
,,,,
2017-08-31,Venezuela,Colombia,0,0
2017-08-31,Chile,Paraguay,0,3
2017-08-31,Uruguay,Argentina,0,0
2017-08-31,Peru,Bolivia,2,1
2017-08-31,Brazil,Ecuador,2,0
,,,,
2017-09-05,Colombia,Brazil,1,1
2017-09-05,Bolivia,Chile,1,0
2017-09-05,Ecuador,Peru,1,2
2017-09-05,Argentina,Venezuela,1,1
2017-09-05,Paraguay,Uruguay,1,2
,,,,
2017-10-05,Bolivia,Brazil,0,0
2017-10-05,Venezuela,Uruguay,0,0
2017-10-05,Colombia,Paraguay,1,2
2017-10-05,Chile,Ecuador,2,1
2017-10-05,Argentina,Peru,0,0
,,,,
2017-10-10,Ecuador,Argentina,1,3
2017-10-10,Peru,Colombia,1,1
2017-10-10,Brazil,Chile,3,0
2017-10-10,Uruguay,Bolivia,4,2
2017-10-10,Paraguay,Venezuela,0,1
2020-10-08,Paraguay,Peru,2,2
2020-10-08,Uruguay,Chile,2,1
2020-10-09,Colombia,Venezuela,3,0
2020-10-08,Argentina,Ecuador,1,0
2020-10-09,Brazil,Bolivia,5,0
,,,,
2020-10-13,Ecuador,Uruguay,4,2
2020-10-13,Bolivia,Argentina,1,2
2020-10-13,Venezuela,Paraguay,0,1
2020-10-13,Peru,Brazil,2,4
2020-10-13,Chile,Colombia,2,2
,,,,
2020-11-12,Bolivia,Ecuador,2,3
2020-11-13,Colombia,Uruguay,0,3
2020-11-13,Chile,Peru,2,0
2020-11-12,Argentina,Paraguay,1,1
2020-11-13,Brazil,Venezuela,1,0
,,,,
2020-11-17,Ecuador,Colombia,6,1
2020-11-17,Venezuela,Chile,2,1
2020-11-17,Uruguay,Brazil,0,2
2020-11-17,Paraguay,Bolivia,2,2
2020-11-17,Peru,Argentina,0,2
,,,,
2021-06-03,Bolivia,Venezuela,3,1
2021-06-03,Uruguay,Paraguay,0,0
2021-06-03,Argentina,Chile,1,1
2021-06-03,Peru,Colombia,0,3
2021-06-04,Brazil,Ecuador,2,0
,,,,
2021-06-08,Ecuador,Peru,1,2
2021-06-08,Colombia,Argentina,2,2
2021-06-08,Venezuela,Uruguay,0,0
2021-06-08,Paraguay,Brazil,0,2
2021-06-08,Chile,Bolivia,1,1
,,,,
2021-09-02,Ecuador,Paraguay,2,0
2021-09-02,Bolivia,Colombia,1,1
2021-09-02,Peru,Uruguay,1,1
2021-09-02,Venezuela,Argentina,1,3
2021-09-02,Chile,Brazil,0,1
,,,,
2021-09-05,Ecuador,Chile,0,0
2021-09-05,Brazil,Argentina,0,0
2021-09-05,Paraguay,Colombia,1,1
2021-09-05,Uruguay,Bolivia,4,2
2021-09-05,Peru,Venezuela,1,0
,,,,
2021-09-09,Colombia,Chile,3,1
2021-09-09,Paraguay,Venezuela,2,1
2021-09-09,Uruguay,Ecuador,1,0
2021-09-09,Argentina,Bolivia,3,0
2021-09-09,Brazil,Peru,2,0
,,,,
2021-10-07,Venezuela,Brazil,1,3
2021-10-07,Uruguay,Colombia,0,0
2021-10-07,Paraguay,Argentina,0,0
2021-10-07,Ecuador,Bolivia,3,0
2021-10-07,Peru,Chile,2,0
,,,,
2021-10-10,Colombia,Brazil,0,0
2021-10-10,Bolivia,Peru,1,0
2021-10-10,Venezuela,Ecuador,2,1
2021-10-10,Argentina,Uruguay,3,0
2021-10-10,Chile,Paraguay,2,0
,,,,
2021-10-14,Colombia,Ecuador,0,0
2021-10-14,Bolivia,Paraguay,4,0
2021-10-14,Argentina,Peru,1,0
2021-10-14,Brazil,Uruguay,4,1
2021-10-14,Chile,Venezuela,3,0
,,,,
2021-11-11,Ecuador,Venezuela,1,0
2021-11-11,Paraguay,Chile,0,1
2021-11-12,Uruguay,Argentina,0,1
2021-11-11,Peru,Bolivia,3,0
2021-11-11,Brazil,Colombia,1,0
,,,,
2021-11-16,Bolivia,Uruguay,3,0
2021-11-16,Venezuela,Peru,1,2
2021-11-16,Colombia,Paraguay,0,0
2021-11-16,Argentina,Brazil,0,0
2021-11-16,Chile,Ecuador,0,2
,,,,
2022-01-27,Ecuador,Brazil,1,1
2022-01-27,Paraguay,Uruguay,0,1
2022-01-28,Colombia,Peru,0,1
2022-01-28,Venezuela,Bolivia,4,1
2022-01-27,Chile,Argentina,1,2
,,,,
2022-02-01,Bolivia,Chile,2,3
2022-02-01,Uruguay,Venezuela,4,1
2022-02-01,Argentina,Colombia,1,0
2022-02-01,Peru,Ecuador,1,1
2022-02-01,Brazil,Paraguay,4,0
,,,,
2022-03-24,Colombia,Bolivia,3,0
2022-03-24,Brazil,Chile,4,0
2022-03-24,Uruguay,Peru,1,0
2022-03-24,Paraguay,Ecuador,3,1
2022-03-25,Argentina,Venezuela,3,0
,,,,
2022-03-29,Peru,Paraguay,2,0
2022-03-29,Ecuador,Argentina,1,1
2022-03-29,Bolivia,Brazil,0,4
2022-03-29,Venezuela,Colombia,0,1
2022-03-29,Chile,Uruguay,0,2
2023-09-07,Colombia,Venezuela,1,0
