Wk,Date,Home,Away,HG,AG
1,2012-09-07,Iceland,Norway,2,0
1,2012-09-07,Russia,Northern Ireland,2,0
1,2012-09-07,Liechtenstein,Bosnia & Herz'na,1,8
1,2012-09-07,Wales,Belgium,0,2
1,2012-09-07,Malta,Armenia,0,1
1,2012-09-07,Croatia,N. Macedonia,1,0
1,2012-09-07,Netherlands,Türkiye,2,0
1,2012-09-07,Montenegro,Poland,2,2
1,2012-09-07,Andorra,Hungary,0,5
1,2012-09-07,Slovenia,Switzerland,0,2
1,2012-09-07,Albania,Cyprus,3,1
1,2012-09-07,Luxembourg,Portugal,1,2
1,2012-09-07,Germany,Faroe Islands,3,0
1,2012-09-07,Georgia,Belarus,1,0
1,2012-09-07,Azerbaijan,Israel,1,1
1,2012-09-07,Estonia,Romania,0,2
1,2012-09-07,Lithuania,Slovakia,1,1
1,2012-09-07,Latvia,Greece,1,2
1,2012-09-07,Finland,France,0,1
1,2012-09-07,Bulgaria,Italy,2,2
1,2012-09-07,Moldova,England,0,5
1,2012-09-07,Kazakhstan,Rep. Ireland,1,2
1,2012-09-08,Scotland,Serbia,0,0
1,2012-09-08,Denmark,Czechia,0,0
,,,,,
2,2012-09-11,Northern Ireland,Luxembourg,1,1
2,2012-09-11,Norway,Slovenia,2,1
2,2012-09-11,England,Ukraine,1,1
2,2012-09-11,Scotland,N. Macedonia,1,1
2,2012-09-11,Cyprus,Iceland,1,0
2,2012-09-11,Bosnia & Herz'na,Latvia,4,1
2,2012-09-11,Israel,Russia,0,4
2,2012-09-11,Slovakia,Liechtenstein,2,0
2,2012-09-11,Portugal,Azerbaijan,3,0
2,2012-09-11,Serbia,Wales,6,1
2,2012-09-11,Sweden,Kazakhstan,2,0
2,2012-09-11,Switzerland,Albania,2,0
2,2012-09-11,San Marino,Montenegro,0,6
2,2012-09-11,Austria,Germany,1,2
2,2012-09-11,Romania,Andorra,4,0
2,2012-09-11,Hungary,Netherlands,1,4
2,2012-09-11,Poland,Moldova,2,0
2,2012-09-11,Belgium,Croatia,1,1
2,2012-09-11,Italy,Malta,2,0
2,2012-09-11,Bulgaria,Armenia,1,0
2,2012-09-11,France,Belarus,3,1
2,2012-09-11,Türkiye,Estonia,3,0
2,2012-09-11,Georgia,Spain,0,1
2,2012-09-11,Greece,Lithuania,2,0
,,,,,
3,2012-10-13,Serbia,Belgium,0,3
3,2012-10-12,Faroe Islands,Sweden,1,2
3,2012-10-12,Czechia,Malta,3,1
3,2012-10-12,Finland,Georgia,1,1
3,2012-10-12,Albania,Iceland,1,2
3,2012-10-12,Russia,Portugal,1,0
3,2012-10-12,Liechtenstein,Lithuania,0,2
3,2012-10-12,Wales,Scotland,2,1
3,2012-10-12,Rep. Ireland,Germany,1,6
3,2012-10-12,England,San Marino,5,0
3,2012-10-12,Slovakia,Latvia,2,1
3,2012-10-12,Netherlands,Andorra,3,0
3,2012-10-12,N. Macedonia,Croatia,1,2
3,2012-10-12,Switzerland,Norway,1,1
3,2012-10-12,Türkiye,Romania,0,1
3,2012-10-12,Slovenia,Cyprus,2,1
3,2012-10-12,Luxembourg,Israel,0,6
3,2012-10-12,Bulgaria,Denmark,1,1
3,2012-10-12,Belarus,Spain,0,4
3,2012-10-12,Armenia,Italy,1,3
,,,,,
9,2012-10-12,Moldova,Ukraine,0,0
,,,,,
3,2012-10-12,Estonia,Hungary,0,1
3,2012-10-12,Greece,Bosnia & Herz'na,0,0
3,2012-10-12,Kazakhstan,Austria,0,0
,,,,,
4,2012-10-16,Israel,Luxembourg,3,0
4,2012-10-16,Iceland,Switzerland,0,2
4,2012-10-16,Andorra,Estonia,0,1
4,2012-10-16,Belarus,Georgia,2,0
4,2012-10-16,Russia,Azerbaijan,1,0
4,2012-10-16,Faroe Islands,Rep. Ireland,1,4
4,2012-10-16,Bosnia & Herz'na,Lithuania,3,0
4,2012-10-16,Latvia,Liechtenstein,2,0
4,2012-10-16,Czechia,Bulgaria,0,0
4,2012-10-16,Croatia,Wales,2,0
4,2012-10-16,Austria,Kazakhstan,4,0
4,2012-10-16,Hungary,Türkiye,3,1
4,2012-10-16,San Marino,Moldova,0,2
4,2012-10-16,N. Macedonia,Serbia,1,0
4,2012-10-16,Slovakia,Greece,0,1
4,2012-10-16,Portugal,Northern Ireland,1,1
4,2012-10-16,Belgium,Scotland,2,0
4,2012-10-16,Albania,Slovenia,1,0
4,2012-10-16,Germany,Sweden,4,4
4,2012-10-16,Italy,Denmark,3,1
4,2012-10-16,Spain,France,1,1
4,2012-10-16,Romania,Netherlands,1,4
4,2012-10-16,Cyprus,Norway,1,3
4,2012-10-16,Ukraine,Montenegro,0,1
4,2012-10-17,Poland,England,1,1
,,,,,
3,2012-11-14,Montenegro,San Marino,3,0
3,2012-11-14,Northern Ireland,Azerbaijan,1,1
,,,,,
5,2013-03-23,Kazakhstan,Germany,0,3
5,2013-03-22,Israel,Portugal,3,3
5,2013-03-22,Bulgaria,Malta,6,0
5,2013-03-22,Croatia,Serbia,2,0
5,2013-03-22,Slovenia,Iceland,1,2
5,2013-03-22,Norway,Albania,0,1
5,2013-03-22,Andorra,Türkiye,0,2
5,2013-03-22,Liechtenstein,Latvia,1,1
5,2013-03-22,Scotland,Wales,1,2
5,2013-03-22,Slovakia,Lithuania,1,1
5,2013-03-22,Luxembourg,Azerbaijan,0,0
,,,,,
