Match,Home,HG,AG,Away
1,Paraguay,0.0,0.0,Peru
1,Colombia,1.0,0.0,Venezuela
1,Argentina,1.0,0.0,Ecuador
1,Uruguay,3.0,1.0,Chile
1,Brazil,5.0,1.0,Bolivia
2,Bolivia,0.0,3.0,Argentina
2,Ecuador,2.0,1.0,Uruguay
2,Venezuela,1.0,0.0,Paraguay
2,Chile,0.0,0.0,Colombia
2,Peru,0.0,1.0,Brazil
3,Colombia,2.0,2.0,Uruguay
3,Bolivia,1.0,2.0,Ecuador
3,Argentina,1.0,0.0,Paraguay
3,Chile,2.0,0.0,Peru
3,Brazil,1.0,1.0,Venezuela
4,Venezuela,3.0,0.0,Chile
4,Paraguay,1.0,0.0,Bolivia
4,Ecuador,0.0,0.0,Colombia
4,Uruguay,2.0,0.0,Brazil
4,Peru,0.0,2.0,Argentina
5,Bolivia,2.0,0.0,Peru
5,Venezuela,0.0,0.0,Ecuador
5,Colombia,2.0,1.0,Brazil
5,Argentina,0.0,2.0,Uruguay
5,Chile,0.0,0.0,Paraguay
6,Paraguay,0.0,1.0,Colombia
6,Uruguay,3.0,0.0,Bolivia
6,Ecuador,1.0,0.0,Chile
6,Brazil,0.0,1.0,Argentina
6,Peru,1.0,1.0,Venezuela
7,Bolivia,4.0,0.0,Venezuela
7,Argentina,3.0,0.0,Chile
7,Uruguay,0.0,0.0,Paraguay
7,Brazil,1.0,0.0,Ecuador
7,Peru,1.0,1.0,Colombia
8,Colombia,2.0,1.0,Argentina
8,Chile,1.0,2.0,Bolivia
8,Ecuador,1.0,0.0,Peru
8,Venezuela,0.0,0.0,Uruguay
8,Paraguay,1.0,0.0,Brazil
9,Bolivia,1.0,0.0,Colombia
9,Ecuador,0.0,0.0,Paraguay
9,Venezuela,1.0,1.0,Argentina
9,Chile,1.0,2.0,Brazil
9,Peru,1.0,0.0,Uruguay
10,Colombia,4.0,0.0,Chile
10,Paraguay,2.0,1.0,Venezuela
10,Uruguay,0.0,0.0,Ecuador
10,Argentina,6.0,0.0,Bolivia
10,Brazil,4.0,0.0,Peru
11,Venezuela,1.0,1.0,Brazil
11,Paraguay,2.0,1.0,Argentina
11,Ecuador,4.0,0.0,Bolivia
11,Uruguay,3.0,2.0,Colombia
11,Peru,0.0,0.0,Chile
12,Bolivia,2.0,2.0,Paraguay
12,Colombia,0.0,1.0,Ecuador
12,Argentina,1.0,0.0,Peru
12,Chile,4.0,2.0,Venezuela
12,Brazil,1.0,1.0,Uruguay
13,Uruguay,1.0,1.0,Argentina
13,Peru,5.0,0.0,Bolivia
13,Brazil,2.0,0.0,Colombia
13,Paraguay,2.0,1.0,Chile
13,Ecuador,2.0,0.0,Venezuela
14,Colombia,0.0,0.0,Paraguay
14,Venezuela,0.0,0.0,Peru
14,Bolivia,3.0,2.0,Uruguay
14,Argentina,0.0,0.0,Brazil
14,Chile,1.0,0.0,Ecuador
15,Colombia,3.0,0.0,Peru
15,Venezuela,2.0,0.0,Bolivia
15,Paraguay,0.0,0.0,Uruguay
15,Chile,2.0,1.0,Argentina
15,Ecuador,0.0,2.0,Brazil
16,Uruguay,4.0,0.0,Venezuela
16,Peru,2.0,0.0,Ecuador
16,Brazil,5.0,0.0,Paraguay
16,Bolivia,3.0,1.0,Chile
16,Argentina,1.0,0.0,Colombia
17,Uruguay,1.0,0.0,Peru
17,Colombia,6.0,0.0,Bolivia
17,Brazil,3.0,0.0,Chile
17,Paraguay,1.0,0.0,Ecuador
17,Argentina,1.0,0.0,Venezuela
18,Peru,2.0,1.0,Paraguay
18,Venezuela,1.0,0.0,Colombia
18,Bolivia,0.0,1.0,Brazil
18,Chile,2.0,1.0,Uruguay
18,Ecuador,1.0,1.0,Argentina
