Team,HG,HGA,AG,AGA
Albania,1.2,1.07,0.87,1.33
Andorra,0.4,2.2,0.27,2.93
Armenia,1.13,2.53,0.93,1.4
Austria,2.2,1.2,1.31,1.44
Azerbaijan,1.07,1.71,0.5,1.71
Belarus,1.15,2.0,0.38,2.69
Belgium,3.57,0.5,2.57,0.64
Bosnia & Herz'na,2.29,1.14,2.21,1.07
Bulgaria,1.71,1.14,0.71,1.86
Croatia,1.65,0.47,1.53,0.59
Cyprus,0.8,1.33,0.33,2.27
Czechia,1.29,0.86,1.73,1.13
Denmark,2.38,0.69,2.12,0.81
England,2.87,0.33,3.0,0.33
Estonia,1.14,1.79,0.86,2.5
Faroe Islands,0.4,2.0,0.6,2.53
Finland,0.85,1.23,1.0,1.23
France,2.57,0.57,1.29,0.64
Georgia,0.62,1.15,0.69,1.62
Germany,4.07,0.6,3.6,0.6
Gibraltar,0.3,4.1,0.4,4.9
Greece,1.31,0.5,1.31,1.0
Hungary,2.13,1.47,1.47,1.67
Iceland,1.56,1.12,1.25,1.5
Israel,1.47,1.73,2.0,1.6
Italy,1.81,0.56,1.6,0.8
Kazakhstan,0.64,1.71,0.57,3.07
Kosovo,0.44,2.56,0.44,1.78
Latvia,1.07,1.87,0.8,1.6
Liechtenstein,0.27,2.93,0.2,3.6
Lithuania,1.0,1.57,0.43,2.0
Luxembourg,0.79,2.14,0.86,2.86
Malta,0.73,3.0,0.4,2.53
Moldova,0.6,2.07,0.8,2.6
Montenegro,1.73,1.47,1.73,1.47
N. Macedonia,1.47,1.33,1.41,1.41
Netherlands,3.6,0.33,2.27,1.33
Northern Ireland,1.27,0.8,0.87,1.27
Norway,1.4,1.0,1.4,1.47
Poland,2.56,0.94,2.47,1.47
Portugal,2.59,0.47,2.27,0.93
Rep. Ireland,1.13,1.4,1.53,1.0
Romania,1.38,0.94,1.5,1.19
Russia,2.2,0.3,1.7,0.8
San Marino,0.13,5.33,0.13,4.73
Scotland,1.5,0.94,1.27,1.27
Serbia,2.57,1.21,1.43,0.93
Slovakia,1.67,0.8,1.33,1.0
Slovenia,1.47,0.73,1.13,1.27
Spain,2.85,0.46,2.15,0.38
Sweden,2.29,0.71,1.29,1.35
Switzerland,1.93,0.47,1.8,0.53
TÃ¼rkiye,2.13,1.13,1.62,1.5
Ukraine,1.67,0.6,1.88,1.0
Wales,1.31,0.88,1.29,1.57
