Round,Wk,Day,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,Chelsea,2,6–0,0.3,Qarabag,41150,Stamford Bridge,Tasos Sidiropoulos,Match Report,
Group stage,1,Tue,Celtic,0.4,0–5,2.5,Paris S-G,57562,Celtic Park,Daniele Orsato,Match Report,
Group stage,1,Tue,Manchester Utd,3.4,3–0,0.6,Basel,73854,Old Trafford,Ruddy Buquet,Match Report,
Group stage,1,Tue,Benfica,2.1,1–2,1.6,ru CSKA Moscow,38323,Estadio do Sport Lisboa e Benfica,Alberto Undiano,Match Report,
Group stage,1,Tue,Roma,0.5,0–0,2.4,Atletico Madrid,36064,Stadio Olimpico,Milorad Mažić,Match Report,
Group stage,1,Tue,Barcelona,0.9,3–0,0.7,Juventus,78656,Camp Nou,Damir Skomina,Match Report,
Group stage,1,Tue,Bayern Munich,4.2,3–0,0.8,Anderlecht,70000,Allianz Arena,Paolo Tagliavento,Match Report,
Group stage,1,Tue,Olympiacos,1.1,2–3,2.6,Sporting CP,30168,Stadio Georgios Karaiskaki,Viktor Kassai,Match Report,
Group stage,1,Wed,Porto,1.5,1–3,0.9,Besiktas,42429,Estadio Do Dragão,Anthony Taylor,Match Report,
Group stage,1,Wed,Liverpool,2.4,2–2,1.2,Sevilla,52332,Anfield,Danny Makkelie,Match Report,
Group stage,1,Wed,Tottenham,1.2,3–1,0.8,Dortmund,67343,Wembley Stadium,Gianluca Rocchi,Match Report,
Group stage,1,Wed,NK Maribor,1.1,1–1,1.8,ru Spartak Moscow,12566,Ljudski vrt,Deniz Aytekin,Match Report,
Group stage,1,Wed,Feyenoord,0.3,0–4,1.3,Manchester City,43500,Stadion Feijenoord,Szymon Marciniak,Match Report,
Group stage,1,Wed,RB Leipzig,0.9,1–1,1.1,Monaco,40068,Red Bull Arena,Michael Oliver,Match Report,
Group stage,1,Wed,Real Madrid,3.9,3–0,0.2,APOEL FC,71060,Estadio Santiago Bernabeu,Benoît Bastien,Match Report,
Group stage,1,Wed,Shakhtar,1.4,2–1,1.9,Napoli,32679,L'viv Arena,Felix Zwayer,Match Report,
Group stage,2,Tue,Manchester City,3.2,2–0,0.5,Shakhtar,45310,Academy Stadium,Jorge de Sousa,Match Report,
Group stage,2,Tue,Sevilla,3.9,3–0,0.4,NK Maribor,34705,Estadio Ramón Sanchez Pizjuan,Aliaksei Kulbakov,Match Report,
Group stage,2,Tue,Dortmund,1.2,1–3,3.2,Real Madrid,65849,Signal Iduna Park,Björn Kuipers,Match Report,
Group stage,2,Tue,Monaco,0.6,0–3,2.9,Porto,11703,Stade Louis II,Slavko Vinčić,Match Report,
Group stage,2,Tue,Napoli,0.9,3–1,1.6,Feyenoord,22577,Stadio San Paolo,William Collum,Match Report,
Group stage,2,Tue,Spartak Moscow,0.2,1–1,2.8,Liverpool,43376,Otkrytie Arena,Clement Turpin,Match Report,
Group stage,2,Tue,Besiktas,1,2–0,1.1,RB Leipzig,36641,Vodafone Arena,Sergey Karasev,Match Report,
Group stage,2,Tue,APOEL FC,1,0–3,1.8,Tottenham,16324,Neo GSP,Pavel Kralovec,Match Report,
Group stage,2,Thu,CSKA Moscow,0.6,1–4,4.3,Manchester Utd,29073,Stadion CSKA,Jonas Eriksson,Match Report,
Group stage,2,Wed,Sporting CP,0.7,0–1,0.9,Barcelona,48575,Estadio Jose Alvalade,Ovidiu Hațegan,Match Report,
Group stage,2,Wed,Qarabag,0.9,1–2,1.9,Roma,67200,Baki Olimpiya Stadionu,Artur Soares Dias,Match Report,
Group stage,2,Wed,Atletico Madrid,1.4,1–2,2.5,Chelsea,60643,Estadio Wanda Metropolitano,Cüneyt Çakιr,Match Report,
Group stage,2,Wed,Juventus,2.3,2–0,0.5,Olympiacos,33460,Allianz Stadium,Tobias Stieler,Match Report,
Group stage,2,Wed,Basel,3.2,5–0,0.4,Benfica,34111,St. Jakob-Park,Craig Thomson,Match Report,
Group stage,2,Wed,Paris S-G,2,3–0,1,Bayern Munich,46252,Parc des Princes,Antonio Mateu Lahoz,Match Report,
Group stage,2,Wed,Anderlecht,0.6,0–3,1.2,Celtic,19898,Stade Constant Vanden Stock,Jesús Gil,Match Report,
Group stage,3,Tue,Manchester City,2.7,2–1,2.2,Napoli,48520,Etihad Stadium,Antonio Mateu Lahoz,Match Report,
Group stage,3,Tue,Feyenoord,1.6,1–2,1.3,Shakhtar,43500,Stadion Feijenoord,Alberto Undiano,Match Report,
Group stage,3,Tue,Monaco,0.7,1–2,1.2,Besiktas,7403,Stade Louis II,Milorad Mažić,Match Report,
Group stage,3,Tue,RB Leipzig,2.5,3–2,1.1,Porto,41496,Red Bull Arena,Paolo Tagliavento,Match Report,
Group stage,3,Tue,Real Madrid,2.9,1–1,0.9,Tottenham,76589,Estadio Santiago Bernabeu,Szymon Marciniak,Match Report,
Group stage,3,Tue,NK Maribor,0.4,0–7,4.6,Liverpool,12506,Ljudski vrt,Viktor Kassai,Match Report,
Group stage,3,Tue,Spartak Moscow,1.7,5–1,1.3,Sevilla,44307,Otkrytie Arena,Gianluca Rocchi,Match Report,
Group stage,3,Tue,APOEL FC,1,1–1,2.1,Dortmund,15604,Neo GSP,Aliaksei Kulbakov,Match Report,
Group stage,3,Wed,Benfica,0.5,0–1,0.6,Manchester Utd,57684,Estadio do Sport Lisboa e Benfica,Felix Zwayer,Match Report,
Group stage,3,Wed,Chelsea,1.6,3–3,1.6,Roma,41105,Stamford Bridge,Damir Skomina,Match Report,
Group stage,3,Wed,Qarabag,0.4,0–0,1.9,Atletico Madrid,47923,Baki Olimpiya Stadionu,Ruddy Buquet,Match Report,
Group stage,3,Wed,Barcelona,3.5,3–1,0.2,Olympiacos,55026,Camp Nou,William Collum,Match Report,
Group stage,3,Wed,Anderlecht,1.2,0–4,3.3,Paris S-G,19108,Stade Constant Vanden Stock,Pavel Kralovec,Match Report,
Group stage,3,Wed,Bayern Munich,3.2,3–0,0.6,Celtic,70000,Allianz Arena,Sergey Karasev,Match Report,
Group stage,3,Wed,Juventus,1.5,2–1,0.5,Sporting CP,36288,Allianz Stadium,Michael Oliver,Match Report,
Group stage,3,Wed,CSKA Moscow,0.4,0–2,1.4,Basel,27996,VEB Arena,Björn Kuipers,Match Report,
Group stage,4,Tue,Celtic,1.4,1–2,0.7,Bayern Munich,58269,Celtic Park,Danny Makkelie,Match Report,
Group stage,4,Tue,Sporting CP,0.5,1–1,2,Juventus,48442,Estadio Jose Alvalade,Clement Turpin,Match Report,
Group stage,4,Tue,Manchester Utd,2.7,2–0,0.9,Benfica,74437,Old Trafford,Gediminas Mažeika,Match Report,
Group stage,4,Tue,Paris S-G,2.6,5–0,0.2,Anderlecht,46403,Parc des Princes,David Fernandez,Match Report,
Group stage,4,Tue,Atletico Madrid,3.2,1–1,0.2,Qarabag,55893,Estadio Wanda Metropolitano,Deniz Aytekin,Match Report,
Group stage,4,Tue,Roma,1.5,3–0,1.3,Chelsea,55036,Stadio Olimpico,Jonas Eriksson,Match Report,
Group stage,4,Tue,Basel,1.2,1–2,1.3,ru CSKA Moscow,33303,St. Jakob-Park,Milorad Mažić,Match Report,
Group stage,4,Tue,Olympiacos,0.3,0–0,1.8,Barcelona,31600,Stadio Georgios Karaiskaki,Anthony Taylor,Match Report,
Group stage,4,Wed,Tottenham,2.3,3–1,2.2,Real Madrid,83782,Wembley Stadium,Cüneyt Çakιr,Match Report,
Group stage,4,Wed,Porto,1.8,3–1,0.6,RB Leipzig,41616,Estadio Do Dragão,Ovidiu Hațegan,Match Report,
Group stage,4,Wed,Liverpool,2.7,3–0,0.3,NK Maribor,47957,Anfield,Ivan Kružliak,Match Report,
Group stage,4,Wed,Besiktas,1.3,1–1,1,Monaco,39346,Vodafone Arena,Paolo Tagliavento,Match Report,
Group stage,4,Wed,Sevilla,0.9,2–1,1.2,ru Spartak Moscow,38002,Estadio Ramón Sanchez Pizjuan,Artur Soares Dias,Match Report,
