Group,Date,Home,HG,AG,Away
League,17-Sep,Young Boys,0,3,Aston Villa
League,17-Sep,Juventus,3,1,PSV Eindhoven
League,17-Sep,Sporting CP,2,0,Lille
League,17-Sep,Real Madrid,3,1,Stuttgart
League,17-Sep,Milan,1,3,Liverpool
League,17-Sep,Bayern Munich,9,2,Dinamo Zagreb
League,18-Sep,Bologna,0,0,Shakhtar
League,18-Sep,Sparta Prague,3,0,RB Salzburg
League,18-Sep,Celtic,5,1,Slovan Bratislava
League,18-Sep,Manchester City,0,0,Inter
League,18-Sep,Paris S-G,1,0,Girona
League,18-Sep,Club Brugge,0,3,Dortmund
League,19-Sep,Feyenoord,0,4,Leverkusen
League,19-Sep,Red Star,1,2,Benfica
League,19-Sep,Atalanta,0,0,Arsenal
League,19-Sep,Brest,2,1,Sturm Graz
League,19-Sep,Monaco,2,1,Barcelona
League,19-Sep,Atletico Madrid,2,1,RB Leipzig
League,01-Oct,Stuttgart,1,1,Sparta Prague
League,01-Oct,RB Salzburg,0,4,Brest
League,01-Oct,Arsenal,2,0,Paris S-G
League,01-Oct,Inter,4,0,Red Star
League,01-Oct,Leverkusen,1,0,Milan
League,01-Oct,Dortmund,7,1,Celtic
League,01-Oct,Barcelona,5,0,Young Boys
League,01-Oct,PSV Eindhoven,1,1,Sporting CP
League,01-Oct,Slovan Bratislava,0,4,Manchester City
League,02-Oct,Girona,2,3,Feyenoord
League,02-Oct,Shakhtar,0,3,Atalanta
League,02-Oct,Aston Villa,1,0,Bayern Munich
League,02-Oct,Liverpool,2,0,Bologna
League,02-Oct,Benfica,4,0,Atletico Madrid
League,02-Oct,RB Leipzig,2,3,Juventus
League,02-Oct,Lille,1,0,Real Madrid
League,02-Oct,Sturm Graz,0,1,Club Brugge
League,02-Oct,Dinamo Zagreb,2,2,Monaco
League,22-Oct,Monaco,5,1,Red Star
League,22-Oct,Milan,3,1,Club Brugge
League,22-Oct,Arsenal,1,0,Shakhtar
League,22-Oct,Aston Villa,2,0,Bologna
League,22-Oct,Juventus,0,1,Stuttgart
League,22-Oct,Sturm Graz,0,2,Sporting CP
League,22-Oct,Paris S-G,1,1,PSV Eindhoven
League,22-Oct,Real Madrid,5,2,Dortmund
League,22-Oct,Girona,2,0,Slovan Bratislava
League,23-Oct,Brest,1,1,Leverkusen
League,23-Oct,Atalanta,0,0,Celtic
League,23-Oct,Benfica,1,3,Feyenoord
League,23-Oct,Manchester City,5,0,Sparta Prague
League,23-Oct,RB Salzburg,0,2,Dinamo Zagreb
League,23-Oct,Barcelona,4,1,Bayern Munich
League,23-Oct,RB Leipzig,0,1,Liverpool
League,23-Oct,Atletico Madrid,1,3,Lille
League,23-Oct,Young Boys,0,1,Inter
League,05-Nov,Slovan Bratislava,1,4,Dinamo Zagreb
League,05-Nov,PSV Eindhoven,4,0,Girona
League,05-Nov,Sporting CP,4,1,Manchester City
League,05-Nov,Liverpool,4,0,Leverkusen
League,05-Nov,Celtic,3,1,RB Leipzig
League,05-Nov,Bologna,0,1,Monaco
League,05-Nov,Real Madrid,1,3,Milan
League,05-Nov,Lille,1,1,Juventus
League,05-Nov,Dortmund,1,0,Sturm Graz
League,06-Nov,Club Brugge,1,0,Aston Villa
League,06-Nov,Shakhtar,2,1,Young Boys
League,06-Nov,Bayern Munich,1,0,Benfica
League,06-Nov,Feyenoord,1,3,RB Salzburg
League,06-Nov,Inter,1,0,Arsenal
League,06-Nov,Stuttgart,0,2,Atalanta
League,06-Nov,Red Star,1,2,Brest
League,06-Nov,Paris S-G,1,2,Atletico Madrid
League,26-Nov,Slovan Bratislava,2,3,Milan
League,26-Nov,Sparta Prague,0,6,Real Madrid
League,26-Nov,Sporting CP,1,5,Arsenal
League,26-Nov,Manchester City,3,3,Feyenoord
