Group,Date,Home,HG,AG,Away
A,04-Sep,Luxembourg,,,Northern Ireland
A,04-Sep,Slovakia,,,Germany
A,07-Sep,Luxembourg,,,Slovakia
A,07-Sep,Germany,,,Northern Ireland
A,10-Oct,Northern Ireland,,,Slovakia
A,10-Oct,Germany,,,Luxembourg
A,13-Oct,Northern Ireland,,,Germany
A,13-Oct,Slovakia,,,Luxembourg
A,14-Nov,Luxembourg,,,Germany
A,14-Nov,Slovakia,,,Northern Ireland
A,17-Nov,Northern Ireland,,,Luxembourg
A,17-Nov,Germany,,,Slovakia
B,05-Sep,Slovenia,,,Sweden
B,05-Sep,Switzerland,,,Kosovo
B,08-Sep,Kosovo,,,Sweden
B,08-Sep,Switzerland,,,Slovenia
B,10-Oct,Kosovo,,,Slovenia
B,10-Oct,Sweden,,,Switzerland
B,13-Oct,Slovenia,,,Switzerland
B,13-Oct,Sweden,,,Kosovo
B,15-Nov,Slovenia,,,Kosovo
B,15-Nov,Switzerland,,,Sweden
B,18-Nov,Kosovo,,,Switzerland
B,18-Nov,Sweden,,,Slovenia
C,05-Sep,Greece,,,Belarus
C,05-Sep,Denmark,,,Scotland
C,08-Sep,Belarus,,,Scotland
C,08-Sep,Greece,,,Denmark
C,09-Oct,Belarus,,,Denmark
C,09-Oct,Scotland,,,Greece
C,12-Oct,Scotland,,,Belarus
C,12-Oct,Denmark,,,Greece
C,15-Nov,Greece,,,Scotland
C,15-Nov,Denmark,,,Belarus
C,18-Nov,Belarus,,,Greece
C,18-Nov,Scotland,,,Denmark
D,05-Sep,Iceland,,,Azerbaijan
D,05-Sep,Ukraine,,,France
D,09-Sep,Azerbaijan,,,Ukraine
D,09-Sep,France,,,Iceland
D,10-Oct,Iceland,,,Ukraine
D,10-Oct,France,,,Azerbaijan
D,13-Oct,Iceland,,,France
D,13-Oct,Ukraine,,,Azerbaijan
D,13-Nov,Azerbaijan,,,Iceland
D,13-Nov,France,,,Ukraine
D,16-Nov,Azerbaijan,,,France
D,16-Nov,Ukraine,,,Iceland
E,04-Sep,Georgia,,,Turkiye
E,04-Sep,Bulgaria,,,Spain
E,07-Sep,Georgia,,,Bulgaria
E,07-Sep,Turkiye,,,Spain
E,11-Oct,Bulgaria,,,Turkiye
E,11-Oct,Spain,,,Georgia
E,14-Oct,Turkiye,,,Georgia
E,14-Oct,Spain,,,Bulgaria
E,15-Nov,Georgia,,,Spain
E,15-Nov,Turkiye,,,Bulgaria
E,18-Nov,Bulgaria,,,Georgia
E,18-Nov,Spain,,,Turkiye
F,06-Sep,Armenia,,,Portugal
F,06-Sep,Rep. Ireland,,,Hungary
F,09-Sep,Armenia,,,Rep. Ireland
F,09-Sep,Hungary,,,Portugal
F,11-Oct,Hungary,,,Armenia
F,11-Oct,Portugal,,,Rep. Ireland
F,14-Oct,Rep. Ireland,,,Armenia
F,14-Oct,Portugal,,,Hungary
F,13-Nov,Armenia,,,Hungary
F,13-Nov,Rep. Ireland,,,Portugal
F,16-Nov,Hungary,,,Rep. Ireland
F,16-Nov,Portugal,,,Armenia
G,21-Mar,Malta,,,Finland
G,21-Mar,Poland,,,Lithuania
G,24-Mar,Lithuania,,,Finland
G,24-Mar,Poland,,,Malta
G,07-Jun,Malta,,,Lithuania
G,07-Jun,Finland,,,Netherlands
G,10-Jun,Finland,,,Poland
