Group,Date,Home,HG,AG,Away
League,25-Sep,Bodo/Glimt,3,2,Porto
League,25-Sep,AZ Alkmaar,3,2,Elfsborg
League,25-Sep,Manchester Utd,1,1,Twente
League,25-Sep,Anderlecht,2,1,Ferencvaros
League,25-Sep,Midtjylland,1,1,Hoffenheim
League,25-Sep,Nice,1,1,Real Sociedad
League,25-Sep,Dynamo Kyiv,0,3,Lazio
League,25-Sep,Galatasaray,3,1,PAOK
League,25-Sep,Ludogorets,0,2,Slavia Prague
League,26-Sep,Malmo,0,2,Rangers
League,26-Sep,Fenerbache,2,1,Union SG
League,26-Sep,Tottenham,3,0,Qarabag
League,26-Sep,Braga,2,1,Maccabi Tel Aviv
League,26-Sep,Roma,1,1,Athletic Club
League,26-Sep,Eint Frankfurt,3,3,Viktoria Plzen
League,26-Sep,Lyon,2,0,Olympiacos
League,26-Sep,Ajax,4,0,Besiktas
League,26-Sep,FCSB,4,1,FK Rigas FS
League,03-Oct,Real Sociedad,1,2,Anderlecht
League,03-Oct,Ferencvaros,1,2,Tottenham
League,03-Oct,Slavia Prague,1,1,Ajax
League,03-Oct,Lazio,4,1,Nice
League,03-Oct,Hoffenheim,2,0,Dynamo Kyiv
League,03-Oct,Olympiacos,3,0,Braga
League,03-Oct,Maccabi Tel Aviv,0,2,Midtjylland
League,03-Oct,FK Rigas FS,2,2,Galatasaray
League,03-Oct,Porto,3,3,Manchester Utd
League,03-Oct,Rangers,1,4,Lyon
League,03-Oct,Qarabag,1,2,Malmo
League,03-Oct,Union SG,0,0,Bodo/Glimt
League,03-Oct,Twente,1,1,Fenerbache
League,03-Oct,Viktoria Plzen,0,0,Ludogorets
League,03-Oct,Elfsborg,1,0,Roma
League,03-Oct,Athletic Club,2,0,AZ Alkmaar
League,03-Oct,PAOK,0,1,FCSB
League,03-Oct,Besiktas,1,3,Eint Frankfurt
League,23-Oct,Braga,1,2,Bodo/Glimt
League,23-Oct,Galatasaray,4,3,Elfsborg
League,24-Oct,Ferencvaros,1,0,Nice
League,24-Oct,Midtjylland,1,0,Union SG
League,24-Oct,Eint Frankfurt,1,0,FK Rigas FS
League,24-Oct,Roma,1,0,Dynamo Kyiv
League,24-Oct,PAOK,2,2,Viktoria Plzen
League,24-Oct,Maccabi Tel Aviv,1,2,Real Sociedad
League,24-Oct,Porto,2,0,Hoffenheim
League,24-Oct,Tottenham,1,0,AZ Alkmaar
League,24-Oct,Rangers,4,0,FCSB
League,24-Oct,Qarabag,0,3,Ajax
League,24-Oct,Malmo,0,1,Olympiacos
League,24-Oct,Anderlecht,2,0,Ludogorets
League,24-Oct,Lyon,0,1,Besiktas
League,24-Oct,Twente,0,2,Lazio
League,24-Oct,Athletic Club,1,0,Slavia Prague
